Area,Year,Pop,Year,Recruitment_Mean,Recruitment CV,RecruitReliability,n-Recruitment,Surv Mean,Surv_CV,SurvReliability,Lambda_Mean,Lambda_CV,LambdaReliability,n-Recruitment,n-KM
Cold Lake (AB&SK),1997,CLBOTH,1997,,,,,,,,,,,,
Cold Lake (AB&SK),1998,CLBOTH,1998,0.149,0.079,TRUE,,,,FALSE,,,FALSE,47,0
Cold Lake (AB&SK),1999,CLBOTH,1999,0.083,0.156,TRUE,,0.925,0.046,TRUE,1.008,0.049,TRUE,47,40
Cold Lake (AB&SK),2000,CLBOTH,2000,0.073,0.184,TRUE,,0.881,0.06,TRUE,0.951,0.062,TRUE,40,42
Cold Lake (AB&SK),2001,CLBOTH,2001,0.044,0.258,TRUE,,0.898,0.058,TRUE,0.939,0.058,TRUE,39,37
Cold Lake (AB&SK),2002,CLBOTH,2002,0.079,0.17,TRUE,,0.886,0.057,TRUE,0.962,0.059,TRUE,44,44
Cold Lake (AB&SK),2003,CLBOTH,2003,,,FALSE,,,,FALSE,,,FALSE,,
Cold Lake (AB&SK),2004,CLBOTH,2004,0.085,0.158,TRUE,,0.872,0.06,TRUE,0.954,0.062,TRUE,46,47
Cold Lake (AB&SK),2005,CLBOTH,2005,0.03,0.338,TRUE,,0.955,0.034,TRUE,0.985,0.035,TRUE,16,45
Cold Lake (AB&SK),2006,CLBOTH,2006,0.065,0.219,TRUE,,0.804,0.086,TRUE,0.861,0.088,TRUE,32,41
Cold Lake (AB&SK),2007,CLBOTH,2007,0.082,0.232,TRUE,,0.876,0.071,TRUE,0.954,0.075,TRUE,33,32
Cold Lake (AB&SK),2008,CLBOTH,2008,0.042,0.215,TRUE,,0.791,0.085,TRUE,0.828,0.084,TRUE,39,48
Cold Lake (AB&SK),2009,CLBOTH,2009,0.041,0.194,TRUE,,0.701,0.111,TRUE,0.733,0.11,TRUE,36,50
Cold Lake (AB&SK),2010,CLBOTH,2010,0,0,TRUE,,0.848,0.069,TRUE,0.849,0.066,TRUE,35,47
Cold Lake (AB&SK),2011,CLBOTH,2011,0.006,0.55,TRUE,,0.79,0.095,TRUE,0.795,0.095,TRUE,30,39
Cold Lake (AB&SK),2012,CLBOTH,2012,0.008,0.477,TRUE,,0.844,0.066,TRUE,0.85,0.066,TRUE,40,51
Cold Lake (AB&SK),2013,CLBOTH,2013,0.031,0.246,TRUE,,0.909,0.052,TRUE,0.937,0.05,TRUE,65,43
Cold Lake (AB&SK),2014,CLBOTH,2014,0.005,0.591,TRUE,,0.805,0.072,TRUE,0.809,0.073,TRUE,44,52
Cold Lake (AB&SK),2015,CLBOTH,2015,0.015,0.4,TRUE,,0.86,0.058,TRUE,0.874,0.058,TRUE,39,58
Cold Lake (AB&SK),2016,CLBOTH,2016,0.046,0.295,TRUE,,0.912,0.048,TRUE,0.956,0.05,TRUE,31,47
Cold Lake (AB&SK),2017,CLBOTH,2017,0.094,0.147,TRUE,,0.902,0.077,TRUE,0.995,0.078,TRUE,35,23
Cold Lake (AB&SK),2018,CLBOTH,2018,0.063,0.22,TRUE,,0.987,0.018,TRUE,1.054,0.024,TRUE,41,16
Cold Lake (AB&SK),2019,CLBOTH,2019,0.148,0.13,TRUE,,0.751,0.166,TRUE,0.882,0.168,TRUE,33,16
Cold Lake (AB),1997,,,,,,,,,,,,,,
Cold Lake (AB),1998,CLAB,1998,0.162,0.088,TRUE,,,,FALSE,,,FALSE,31,0
Cold Lake (AB),1999,CLAB,1999,0.081,0.202,TRUE,,0.952,0.051,TRUE,1.036,0.054,TRUE,29,21
Cold Lake (AB),2000,CLAB,2000,0.064,0.264,TRUE,,0.953,0.05,TRUE,1.018,0.053,TRUE,22,21
Cold Lake (AB),2001,CLAB,2001,0.029,0.311,TRUE,,0.908,0.073,TRUE,0.935,0.072,TRUE,24,20
Cold Lake (AB),2002,CLAB,2002,0.047,0.251,TRUE,,0.909,0.07,TRUE,0.953,0.073,TRUE,26,22
Cold Lake (AB),2003,CLAB,2003,,,FALSE,,0.8,0.111,TRUE,,,FALSE,,24
Cold Lake (AB),2004,CLAB,2004,0.079,0.186,TRUE,,0.836,0.101,TRUE,0.904,0.1,TRUE,27,24
Cold Lake (AB),2005,CLAB,2005,0.03,0.337,TRUE,,0.912,0.067,TRUE,0.941,0.069,TRUE,16,24
Cold Lake (AB),2006,CLAB,2006,0.059,0.349,TRUE,,0.699,0.173,TRUE,0.743,0.179,TRUE,16,20
Cold Lake (AB),2007,CLAB,2007,0.135,0.298,TRUE,,0.695,0.218,TRUE,0.803,0.23,TRUE,9,13
Cold Lake (AB),2008,CLAB,2008,0.022,0.431,TRUE,,0.788,0.132,TRUE,0.806,0.134,TRUE,18,19
Cold Lake (AB),2009,CLAB,2009,0.047,0.267,TRUE,,0.604,0.205,TRUE,0.633,0.21,TRUE,17,25
Cold Lake (AB),2010,CLAB,2010,0,0,TRUE,,0.895,0.083,TRUE,0.894,0.084,TRUE,16,19
Cold Lake (AB),2011,CLAB,2011,0.006,0.864,TRUE,,0.749,0.166,TRUE,0.755,0.166,TRUE,20,17
Cold Lake (AB),2012,CLAB,2012,0.006,0.767,TRUE,,0.781,0.125,TRUE,0.787,0.124,TRUE,19,24
Cold Lake (AB),2013,CLAB,2013,0.019,0.63,TRUE,,0.911,0.07,TRUE,0.93,0.07,TRUE,21,19
Cold Lake (AB),2014,CLAB,2014,0.008,0.601,TRUE,,0.753,0.125,TRUE,0.761,0.125,TRUE,25,26
Cold Lake (AB),2015,CLAB,2015,0.017,0.419,TRUE,,0.873,0.073,TRUE,0.888,0.072,TRUE,24,32
Cold Lake (AB),2016,CLAB,2016,0.086,0.215,TRUE,,0.849,0.088,TRUE,0.906,0.092,TRUE,21,28
Cold Lake (AB),2017,CLAB,2017,0.087,0.215,TRUE,,0.902,0.078,TRUE,0.987,0.08,TRUE,20,23
Cold Lake (AB),2018,CLAB,2018,0.077,0.247,TRUE,,0.987,0.019,TRUE,1.07,0.028,TRUE,26,16
Cold Lake (AB),2019,CLAB,2019,0.157,0.152,TRUE,,0.753,0.165,TRUE,0.893,0.166,TRUE,27,16
Cold Lake (SK),1997,CLSK,1997,,,,,,,,,,,,
Cold Lake (SK),1998,CLSK,1998,0.123,0.135,TRUE,,,,FALSE,,,FALSE,16,0
Cold Lake (SK),1999,CLSK,1999,0.086,0.251,TRUE,,0.894,0.085,TRUE,0.98,0.085,TRUE,18,19
Cold Lake (SK),2000,CLSK,2000,0.085,0.247,TRUE,,0.81,0.119,TRUE,0.885,0.122,TRUE,18,21
Cold Lake (SK),2001,CLSK,2001,0.062,0.357,TRUE,,0.881,0.096,TRUE,0.942,0.098,TRUE,15,17
Cold Lake (SK),2002,CLSK,2002,0.124,0.194,TRUE,,0.863,0.091,TRUE,0.987,0.094,TRUE,,22
Cold Lake (SK),2003,CLSK,2003,,,FALSE,,0.913,0.068,TRUE,,,FALSE,18,23
Cold Lake (SK),2004,CLSK,2004,0.095,0.277,TRUE,,0.914,0.066,TRUE,1.01,0.073,TRUE,19,23
Cold Lake (SK),2005,CLSK,2005,,,FALSE,,0.999,0.002,TRUE,,,FALSE,,21
Cold Lake (SK),2006,CLSK,2006,0.073,0.263,TRUE,,0.903,0.075,TRUE,0.976,0.077,TRUE,16,21
Cold Lake (SK),2007,CLSK,2007,0.055,0.338,TRUE,,0.999,0.002,TRUE,1.059,0.02,TRUE,24,19
Cold Lake (SK),2008,CLSK,2008,0.058,0.245,TRUE,,0.792,0.109,TRUE,0.842,0.108,TRUE,21,29
Cold Lake (SK),2009,CLSK,2009,0.036,0.288,TRUE,,0.798,0.114,TRUE,0.827,0.114,TRUE,19,25
Cold Lake (SK),2010,CLSK,2010,0,0,TRUE,,0.818,0.101,TRUE,0.817,0.1,TRUE,19,28
Cold Lake (SK),2011,CLSK,2011,0.013,0.537,TRUE,,0.818,0.112,TRUE,0.83,0.11,TRUE,12,22
Cold Lake (SK),2012,CLSK,2012,0.011,0.615,TRUE,,0.92,0.062,TRUE,0.93,0.062,TRUE,21,27
Cold Lake (SK),2013,CLSK,2013,0.012,0.572,TRUE,,0.921,0.061,TRUE,0.933,0.061,TRUE,18,25
Cold Lake (SK),2014,CLSK,2014,0,0,TRUE,,0.852,0.087,TRUE,0.85,0.09,TRUE,19,26
Cold Lake (SK),2015,CLSK,2015,0.018,0.618,TRUE,,0.883,0.077,TRUE,0.899,0.078,TRUE,16,25
Cold Lake (SK),2016,CLSK,2016,0.094,0.15,TRUE,,0.95,0.051,TRUE,0.964,0.053,TRUE,10,20
Cold Lake (SK),2017,CLSK,2017,0.107,0.171,TRUE,,0.866,0.11,TRUE,0.97,0.111,TRUE,16,18
Cold Lake (SK),2018,CLSK,2018,0.034,0.425,TRUE,,0.98,0.029,TRUE,1.016,0.033,TRUE,15,12
Cold Lake (SK),2019,CLSK,2019,0.124,0.242,TRUE,,0.909,0.1,TRUE,1.04,0.105,TRUE,6,11
ESAR,1994,ESAR,1994,,,FALSE,,,,FALSE,,,FALSE,,
ESAR,1995,ESAR,1995,0.109,0.121,TRUE,,0.864,0.077,TRUE,0.972,0.08,TRUE,71,28
ESAR,1996,ESAR,1996,0.08,0.201,TRUE,,0.828,0.086,TRUE,0.9,0.088,TRUE,32,31
ESAR,1997,ESAR,1997,0.063,0.258,TRUE,,0.918,0.052,TRUE,0.981,0.055,TRUE,22,37
ESAR,1998,ESAR,1998,0.022,0.575,TRUE,,0.827,0.094,TRUE,0.846,0.095,TRUE,14,31
ESAR,1999,ESAR,1999,0.153,0.172,TRUE,,0.921,0.062,TRUE,1.089,0.069,TRUE,22,25
ESAR,2000,ESAR,2000,0.113,0.184,TRUE,,0.822,0.108,TRUE,0.929,0.11,TRUE,23,23
ESAR,2001,ESAR,2001,0.025,0.346,TRUE,,0.79,0.136,TRUE,0.809,0.137,TRUE,57,18
ESAR,2002,ESAR,2002,0.08,0.3,TRUE,,0.842,0.095,TRUE,0.915,0.098,TRUE,30,26
ESAR,2003,ESAR,2003,0.077,0.28,TRUE,,0.927,0.056,TRUE,1.002,0.061,TRUE,27,27
ESAR,2004,ESAR,2004,0.072,0.21,TRUE,,0.875,0.084,TRUE,0.942,0.084,TRUE,20,24
ESAR,2005,ESAR,2005,0.055,0.292,TRUE,,0.793,0.117,TRUE,0.838,0.12,TRUE,21,24
ESAR,2006,ESAR,2006,0.043,0.28,TRUE,,0.89,0.087,TRUE,0.929,0.088,TRUE,18,18
ESAR,2007,ESAR,2007,0.078,0.272,TRUE,,0.808,0.107,TRUE,0.878,0.109,TRUE,21,24
ESAR,2008,ESAR,2008,0.064,0.212,TRUE,,0.783,0.124,TRUE,0.838,0.125,TRUE,27,22
ESAR,2009,ESAR,2009,0.079,0.192,TRUE,,0.769,0.116,TRUE,0.838,0.115,TRUE,27,23
ESAR,2010,ESAR,2010,0.036,0.392,TRUE,,0.823,0.087,TRUE,0.852,0.09,TRUE,17,31
ESAR,2011,ESAR,2011,0.012,0.459,TRUE,,0.893,0.06,TRUE,0.903,0.061,TRUE,28,37
ESAR,2012,ESAR,2012,0.006,0.602,TRUE,,0.947,0.04,TRUE,0.952,0.04,TRUE,46,37
ESAR,2013,ESAR,2013,0.035,0.19,TRUE,,0.881,0.048,TRUE,0.914,0.049,TRUE,51,53
ESAR,2014,ESAR,2014,0.019,0.295,TRUE,,0.871,0.047,TRUE,0.888,0.047,TRUE,56,73
ESAR,2015,ESAR,2015,0.093,0.149,TRUE,,0.797,0.061,TRUE,0.879,0.064,TRUE,56,91
ESAR,2016,ESAR,2016,0.062,0.15,TRUE,,0.9,0.042,TRUE,0.933,0.044,TRUE,43,75
ESAR,2017,ESAR,2017,0.094,0.149,TRUE,,0.894,0.048,TRUE,0.987,0.05,TRUE,43,57
ESAR,2018,ESAR,2018,0.063,0.221,TRUE,,0.955,0.027,TRUE,1.019,0.031,TRUE,51,61
ESAR,2019,ESAR,2019,0.149,0.129,TRUE,,0.868,0.054,TRUE,1.019,0.059,TRUE,48,65
YATE,2008,YATE,2008,0.08,0.237,GOOD,,0.95,0.055,GOOD,1.034,0.056,GOOD,28,20
YATE,2009,YATE,2009,0.076,0.105,GOOD,,0.966,0.035,GOOD,1.046,0.037,GOOD,70,23
YATE,2010,YATE,2010,0.092,0.13,GOOD,,0.929,0.054,GOOD,1.023,0.056,GOOD,41,28
YATE,2011,YATE,2011,0.119,0.137,GOOD,,0.882,0.076,GOOD,1.003,0.079,GOOD,39,26
YATE,2012,YATE,2012,0.097,0.144,GOOD,,0.819,0.111,GOOD,0.906,0.112,GOOD,38,22
YATE,2013,YATE,2013,0.087,0.163,GOOD,,0.726,0.134,GOOD,0.791,0.137,GOOD,45,23
YATE,2014,YATE,2014,0.078,0.174,GOOD,,0.841,0.096,GOOD,0.91,0.097,GOOD,35,25
YATE,2015,YATE,2015,0.085,0.186,GOOD,,0.812,0.094,GOOD,0.884,0.098,GOOD,25,30
YATE,2016,YATE,2016,0.062,0.173,GOOD,,0.919,0.063,GOOD,1.064,0.066,GOOD,25,26
YATE,2017,YATE,2017,0.107,0.112,GOOD,,0.93,0.053,GOOD,1.042,0.054,GOOD,39,26
YATE,2018,YATE,2018,0.117,0.159,GOOD,,0.897,0.066,GOOD,1.016,0.07,GOOD,34,30
YATE,2019,YATE,2019,0.055,0.251,GOOD,,0.898,0.079,GOOD,0.952,0.081,GOOD,32,28