OBJECTID,Name,PERCENTAGE,direct.disturb
1,Calendar,57.42089903,3.720685
2,Chinchaga RRA,47.86045533,3.1289
3,Clarke,67.23102666,6.67775
4,Cold Lake,81.04323374,10.677417
5,Cold Lake Reference,16.48926838,2.558736
6,Fort Liard,38.40686921,2.246905
7,Fort Providence Reference,5.080327784,0.1916
8,Fort Providence South FMA,15.576463,0.716897
9,Fort Resolution FMA,15.63586552,1.984708
10,Fort Resolution Reference,5.405858643,0.324166
11,Hay River Lowlands,6.935451594,0.257246
12,Northern Saskatchewan,2.334737425,0.095366
13,Tweedsmuir,32.43026054,NA