OBJECTID,Name,WET_FINAL,Shape_Area,AREA,PERCENTAGE
1,Calendar,0,3453341132,3453341132,69.34034191
2,Calendar,1,1098796404,1098796404,22.06295742
3,Calendar,2,402400659.8,402400659.8,8.079885036
4,Chinchaga RRA,0,1784559541,1784559541,52.18318921
5,Chinchaga RRA,1,1559902512,1559902512,45.61388177
6,Chinchaga RRA,2,75335718.39,75335718.39,2.202929046
7,Clarke,0,3139466788,3139466788,60.71704128
8,Clarke,1,1490532943,1490532943,28.82679014
9,Clarke,2,540652080.7,540652080.7,10.45616881
10,Cold Lake,0,4826255852,4826255852,66.36570167
11,Cold Lake,1,1918457913,1918457913,26.3806581
12,Cold Lake,2,527500230.5,527500230.5,7.25364009
13,Cold Lake Reference,0,2700997454,2700997454,59.90873612
14,Cold Lake Reference,1,1436305913,1436305913,31.85759092
15,Cold Lake Reference,2,371216787.2,371216787.2,8.233672533
16,Fort Liard,0,3183704656,3183704656,72.44968659
17,Fort Liard,1,836072813.1,836072813.1,19.02601523
18,Fort Liard,2,374588898.5,374588898.5,8.524298334
19,Fort Providence Reference,0,1681859535,1681859535,31.05324082
20,Fort Providence Reference,1,3503748406,3503748406,64.69193222
21,Fort Providence Reference,2,230443618.1,230443618.1,4.254826888
22,Fort Providence South FMA,0,1948602883,1948602883,43.25725242
23,Fort Providence South FMA,1,2164448821,2164448821,48.04884044
24,Fort Providence South FMA,2,391633123.9,391633123.9,8.693907335
25,Fort Resolution FMA,0,1185086566,1185086566,24.37854171
26,Fort Resolution FMA,1,2957034091,2957034091,60.82946261
27,Fort Resolution FMA,2,719066627.9,719066627.9,14.79199604
28,Fort Resolution Reference,0,954849323.6,954849323.6,18.96193857
29,Fort Resolution Reference,1,3813271422,3813271422,75.72610324
30,Fort Resolution Reference,2,267489466.7,267489466.7,5.311957302
31,Hay River Lowlands,0,1396363854,1396363854,25.04062353
32,Hay River Lowlands,1,3495578481,3495578481,62.685284
33,Hay River Lowlands,2,684451766.1,684451766.1,12.27409242
34,Northern Saskatchewan,0,3098246021,3098246021,67.62653334
35,Northern Saskatchewan,1,907791166.4,907791166.4,19.8146852
36,Northern Saskatchewan,2,575368771.7,575368771.7,12.5587817
37,Tweedsmuir,0,2676750548,2676750548,84.35780997
38,Tweedsmuir,1,206984534,206984534,6.523118863
39,Tweedsmuir,2,289356428.1,289356428.1,9.119069613